Foundation Type,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE,PILE,SHAL,SLAB,BASE
Flood Peril Type,RLS,RLS,RLS,RLS,RHS,RHS,RHS,RHS,RLL,RLL,RLL,RLL,RHL,RHL,RHL,RHL,CST,CST,CST,CST,CMV,CMV,CMV,CMV,CHW,CHW,CHW,CHW
COM1,857,857,857,857,857,857,857,857,858,858,858,858,858,858,858,858,857,857,857,857,857,857,857,857,857,857,857,857
COM2,875,875,875,875,875,875,875,875,876,876,876,876,876,876,876,876,875,875,875,875,875,875,875,875,875,875,875,875
COM3,877,877,877,877,877,877,877,877,878,878,878,878,878,878,878,878,877,877,877,877,877,877,877,877,877,877,877,877
COM4 1 Story,855,855,855,855,855,855,855,855,856,856,856,856,856,856,856,856,855,855,855,855,855,855,855,855,855,855,855,855
COM4 2 Story+,853,853,853,853,853,853,853,853,854,854,854,854,854,854,854,854,853,853,853,853,853,853,853,853,853,853,853,853
COM5,855,855,855,855,855,855,855,855,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856,856
COM6,871,871,871,871,871,871,871,871,872,872,872,872,872,872,872,872,871,871,871,871,871,871,871,871,871,871,871,871
COM7,869,869,869,869,869,869,869,869,870,870,870,870,870,870,870,870,869,869,869,869,869,869,869,869,869,869,869,869
COM8,863,863,863,863,863,863,863,863,864,864,864,864,864,864,864,864,863,863,863,863,863,863,863,863,863,863,863,863
COM9,875,875,875,875,875,875,875,875,876,876,876,876,876,876,876,876,875,875,875,875,875,875,875,875,875,875,875,875
COM10,875,875,875,875,875,875,875,875,876,876,876,876,876,876,876,876,875,875,875,875,875,875,875,875,875,875,875,875
IND1,881,881,881,881,881,881,881,881,882,882,882,882,882,882,882,882,881,881,881,881,881,881,881,881,881,881,881,881
IND2,881,881,881,881,881,881,881,881,882,882,882,882,882,882,882,882,881,881,881,881,881,881,881,881,881,881,881,881
IND3,883,883,883,883,883,883,883,883,884,884,884,884,884,884,884,884,883,883,883,883,883,883,883,883,883,883,883,883
IND4,883,883,883,883,883,883,883,883,884,884,884,884,884,884,884,884,883,883,883,883,883,883,883,883,883,883,883,883
IND5,883,883,883,883,883,883,883,883,884,884,884,884,884,884,884,884,883,883,883,883,883,883,883,883,883,883,883,883
IND6,883,883,883,883,883,883,883,883,884,884,884,884,884,884,884,884,883,883,883,883,883,883,883,883,883,883,883,883
AGR1,893,893,893,893,893,893,893,893,894,894,894,894,894,894,894,894,893,893,893,893,893,893,893,893,893,893,893,893
REL1,889,889,889,889,889,889,889,889,890,890,890,890,890,890,890,890,889,889,889,889,889,889,889,889,889,889,889,889
GOV1,885,885,885,885,885,885,885,885,886,886,886,886,886,886,886,886,885,885,885,885,885,885,885,885,885,885,885,885
GOV2,885,885,885,885,885,885,885,885,886,886,886,886,886,886,886,886,885,885,885,885,885,885,885,885,885,885,885,885
EDU1,887,887,887,887,887,887,887,887,888,888,888,888,888,888,888,888,887,887,887,887,887,887,887,887,887,887,887,887
EDU2,887,887,887,887,887,887,887,887,888,888,888,888,888,888,888,888,887,887,887,887,887,887,887,887,887,887,887,887
