DDF_ID,Originator Source,ft12m,ft11m,ft10m,ft09m,ft08m,ft07m,ft06m,ft05m,ft04m,ft03m,ft02m,ft1_5m,ft01m,ft0_5m,ft00,ft0_5,ft01,ft1_5,ft02,ft03,ft04,ft05,ft06,ft07,ft08,ft09,ft10,ft11,ft12,ft13,ft14,ft15,ft16,ft17,ft18,ft19,ft20,ft21,ft22,ft23,ft24
1144,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,7.6,11.8,16.1,19.9,25.4,31.4,34.2,39,41.8,45.7,50.4,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7
1145,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,7.6,11.8,16.1,19.9,25.4,31.4,34.2,39,41.8,45.7,50.4,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7
1146,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,0.6,0.6,1.1,7.1,10.5,14,17.3,22.3,28.2,32.1,35.5,38.9,42.7,45.7,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1
1147,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
1148,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,0.6,0.6,1.1,7.1,10.5,14,17.3,22.3,28.2,32.1,35.5,38.9,42.7,45.7,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1
1149,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,0.6,9.9,14.2,18.1,23.9,30.2,36.9,39.4,43.9,45.8,48.4,51.1,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
1150,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,7.6,11.8,16.1,19.9,25.4,31.4,34.2,39,41.8,45.7,50.4,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7
1151,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
1152,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,0.6,9.9,14.2,18.1,23.9,30.2,36.9,39.4,43.9,45.8,48.4,51.1,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
1153,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,0.6,11.1,15.9,22.5,28.7,37.4,47.3,52.1,58.3,63.5,67,70.9,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2,72.2
1154,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,9.1,13.2,16.9,20.5,26.6,33.3,36.4,41,43.9,47.7,51.3,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
1155,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,1.9,14.8,19.4,25.3,32.4,41.0,49.6,56.3,63.9,67.2,71.3,72.7,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
1156,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.4,0.4,0.7,10.2,16.4,22.1,28.3,35.9,42.9,48.4,54.2,58.1,62.1,65.3,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1
1157,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.0,7.8,11.9,16.1,19.8,25.7,31.6,34.4,39.9,43.2,47.7,52.6,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9
1158,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
1159,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,0.6,9.9,14.2,18.1,23.9,30.2,36.9,39.4,43.9,45.8,48.4,51.1,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8,52.8
1160,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.3,0.3,1.9,14.8,19.4,25.3,32.4,41.0,49.6,56.3,63.9,67.2,71.3,72.7,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5,73.5
1161,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.5,0.5,1.1,9.1,13.2,16.9,20.5,26.6,33.3,36.4,41,43.9,47.7,51.3,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4
1162,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.4,0.4,0.7,10.2,16.4,22.1,28.3,35.9,42.9,48.4,54.2,58.1,62.1,65.3,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1
1163,USACE - Galveston District,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.4,0.8,0.8,1.6,9.9,13.5,16.8,19.4,25.4,30.5,33.5,38.6,45.7,51.1,55,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1,59.1
