occupancy_type,foundation_type,flood_peril_type,damage_function_id
IND5,BASEMENT,RLL,111
IND5,BASEMENT,RLS,111
IND5,PILE,CHW,111
IND5,PILE,CMV,111
IND5,PILE,CST,111
IND5,PILE,RHL,111
IND5,PILE,RHS,111
IND5,PILE,RLL,111
IND5,PILE,RLS,111
IND5,SHALLOW,CHW,111
IND5,SHALLOW,CMV,111
IND5,SHALLOW,CST,111
IND5,SHALLOW,RHL,111
IND5,SHALLOW,RHS,111
IND5,SHALLOW,RLL,111
IND5,SHALLOW,RLS,111
IND5,SLAB,CHW,111
IND5,SLAB,CMV,111
IND5,SLAB,CST,111
IND5,SLAB,RHL,111
IND5,SLAB,RHS,111
IND5,SLAB,RLL,111
IND5,SLAB,RLS,111
IND6,BASEMENT,CHW,112
IND6,BASEMENT,CMV,112
IND6,BASEMENT,CST,112
IND6,BASEMENT,RHL,112
IND6,BASEMENT,RHS,112
IND6,BASEMENT,RLL,112
IND6,BASEMENT,RLS,112
IND6,PILE,CHW,112
IND6,PILE,CMV,112
IND6,PILE,CST,112
IND6,PILE,RHL,112
IND6,PILE,RHS,112
IND6,PILE,RLL,112
IND6,PILE,RLS,112
IND6,SHALLOW,CHW,112
IND6,SHALLOW,CMV,112
IND6,SHALLOW,CST,112
IND6,SHALLOW,RHL,112
IND6,SHALLOW,RHS,112
IND6,SHALLOW,RLL,112
IND6,SHALLOW,RLS,112
IND6,SLAB,CHW,112
IND6,SLAB,CMV,112
IND6,SLAB,CST,112
IND6,SLAB,RHL,112
IND6,SLAB,RHS,112
IND6,SLAB,RLL,112
IND6,SLAB,RLS,112
