construction_type,occupancy_type,story_min,story_max,sqft_min,sqft_max,foundation_type,flood_peril_type,damage_function_id,Duration,Base Type
C,COM5,,,,,PILE,RLS,855,Short Duration,NOBASE
M,COM5,,,,,PILE,RLS,855,Short Duration,NOBASE
S,COM5,,,,,PILE,RLS,855,Short Duration,NOBASE
W,COM5,,,,,PILE,RLS,855,Short Duration,NOBASE
C,COM5,,,,,PILE,RHS,855,Short Duration,NOBASE
M,COM5,,,,,PILE,RHS,855,Short Duration,NOBASE
S,COM5,,,,,PILE,RHS,855,Short Duration,NOBASE
W,COM5,,,,,PILE,RHS,855,Short Duration,NOBASE
C,COM6,,,,,BASEMENT,RLL,872,Long Duration,BASE
M,COM6,,,,,BASEMENT,RLL,872,Long Duration,BASE
S,COM6,,,,,BASEMENT,RLL,872,Long Duration,BASE
W,COM6,,,,,BASEMENT,RLL,872,Long Duration,BASE
C,COM6,,,,,BASEMENT,RHL,872,Long Duration,BASE
M,COM6,,,,,BASEMENT,RHL,872,Long Duration,BASE
S,COM6,,,,,BASEMENT,RHL,872,Long Duration,BASE
W,COM6,,,,,BASEMENT,RHL,872,Long Duration,BASE
C,COM6,,,,,SHALLOW,RLL,872,Long Duration,NOBASE
M,COM6,,,,,SHALLOW,RLL,872,Long Duration,NOBASE
S,COM6,,,,,SHALLOW,RLL,872,Long Duration,NOBASE
W,COM6,,,,,SHALLOW,RLL,872,Long Duration,NOBASE
C,COM6,,,,,SHALLOW,RHL,872,Long Duration,NOBASE
M,COM6,,,,,SHALLOW,RHL,872,Long Duration,NOBASE
S,COM6,,,,,SHALLOW,RHL,872,Long Duration,NOBASE
W,COM6,,,,,SHALLOW,RHL,872,Long Duration,NOBASE
C,COM6,,,,,SLAB,RLL,872,Long Duration,NOBASE
M,COM6,,,,,SLAB,RLL,872,Long Duration,NOBASE
S,COM6,,,,,SLAB,RLL,872,Long Duration,NOBASE
W,COM6,,,,,SLAB,RLL,872,Long Duration,NOBASE
C,COM6,,,,,SLAB,RHL,872,Long Duration,NOBASE
M,COM6,,,,,SLAB,RHL,872,Long Duration,NOBASE
S,COM6,,,,,SLAB,RHL,872,Long Duration,NOBASE
W,COM6,,,,,SLAB,RHL,872,Long Duration,NOBASE
C,COM6,,,,,PILE,RLL,872,Long Duration,NOBASE
M,COM6,,,,,PILE,RLL,872,Long Duration,NOBASE
S,COM6,,,,,PILE,RLL,872,Long Duration,NOBASE
W,COM6,,,,,PILE,RLL,872,Long Duration,NOBASE
C,COM6,,,,,PILE,RHL,872,Long Duration,NOBASE
M,COM6,,,,,PILE,RHL,872,Long Duration,NOBASE
S,COM6,,,,,PILE,RHL,872,Long Duration,NOBASE
W,COM6,,,,,PILE,RHL,872,Long Duration,NOBASE
C,COM6,,,,,BASEMENT,RLS,871,Short Duration,BASE
M,COM6,,,,,BASEMENT,RLS,871,Short Duration,BASE
S,COM6,,,,,BASEMENT,RLS,871,Short Duration,BASE
W,COM6,,,,,BASEMENT,RLS,871,Short Duration,BASE
C,COM6,,,,,BASEMENT,RHS,871,Short Duration,BASE
M,COM6,,,,,BASEMENT,RHS,871,Short Duration,BASE
S,COM6,,,,,BASEMENT,RHS,871,Short Duration,BASE
W,COM6,,,,,BASEMENT,RHS,871,Short Duration,BASE
C,COM6,,,,,SHALLOW,RLS,871,Short Duration,NOBASE
M,COM6,,,,,SHALLOW,RLS,871,Short Duration,NOBASE
S,COM6,,,,,SHALLOW,RLS,871,Short Duration,NOBASE
W,COM6,,,,,SHALLOW,RLS,871,Short Duration,NOBASE
C,COM6,,,,,SHALLOW,RHS,871,Short Duration,NOBASE
M,COM6,,,,,SHALLOW,RHS,871,Short Duration,NOBASE
S,COM6,,,,,SHALLOW,RHS,871,Short Duration,NOBASE
W,COM6,,,,,SHALLOW,RHS,871,Short Duration,NOBASE
C,COM6,,,,,SLAB,RLS,871,Short Duration,NOBASE
M,COM6,,,,,SLAB,RLS,871,Short Duration,NOBASE
S,COM6,,,,,SLAB,RLS,871,Short Duration,NOBASE
W,COM6,,,,,SLAB,RLS,871,Short Duration,NOBASE
C,COM6,,,,,SLAB,RHS,871,Short Duration,NOBASE
M,COM6,,,,,SLAB,RHS,871,Short Duration,NOBASE
S,COM6,,,,,SLAB,RHS,871,Short Duration,NOBASE
W,COM6,,,,,SLAB,RHS,871,Short Duration,NOBASE
C,COM6,,,,,PILE,RLS,871,Short Duration,NOBASE
M,COM6,,,,,PILE,RLS,871,Short Duration,NOBASE
S,COM6,,,,,PILE,RLS,871,Short Duration,NOBASE
W,COM6,,,,,PILE,RLS,871,Short Duration,NOBASE
C,COM6,,,,,PILE,RHS,871,Short Duration,NOBASE
M,COM6,,,,,PILE,RHS,871,Short Duration,NOBASE
S,COM6,,,,,PILE,RHS,871,Short Duration,NOBASE
W,COM6,,,,,PILE,RHS,871,Short Duration,NOBASE
C,COM7,,,,,BASEMENT,RLL,870,Long Duration,BASE
M,COM7,,,,,BASEMENT,RLL,870,Long Duration,BASE
S,COM7,,,,,BASEMENT,RLL,870,Long Duration,BASE
W,COM7,,,,,BASEMENT,RLL,870,Long Duration,BASE
C,COM7,,,,,BASEMENT,RHL,870,Long Duration,BASE
M,COM7,,,,,BASEMENT,RHL,870,Long Duration,BASE
S,COM7,,,,,BASEMENT,RHL,870,Long Duration,BASE
W,COM7,,,,,BASEMENT,RHL,870,Long Duration,BASE
C,COM7,,,,,SHALLOW,RLL,870,Long Duration,NOBASE
M,COM7,,,,,SHALLOW,RLL,870,Long Duration,NOBASE
S,COM7,,,,,SHALLOW,RLL,870,Long Duration,NOBASE
W,COM7,,,,,SHALLOW,RLL,870,Long Duration,NOBASE
C,COM7,,,,,SHALLOW,RHL,870,Long Duration,NOBASE
M,COM7,,,,,SHALLOW,RHL,870,Long Duration,NOBASE
S,COM7,,,,,SHALLOW,RHL,870,Long Duration,NOBASE
W,COM7,,,,,SHALLOW,RHL,870,Long Duration,NOBASE
C,COM7,,,,,SLAB,RLL,870,Long Duration,NOBASE
M,COM7,,,,,SLAB,RLL,870,Long Duration,NOBASE
S,COM7,,,,,SLAB,RLL,870,Long Duration,NOBASE
W,COM7,,,,,SLAB,RLL,870,Long Duration,NOBASE
C,COM7,,,,,SLAB,RHL,870,Long Duration,NOBASE
M,COM7,,,,,SLAB,RHL,870,Long Duration,NOBASE
S,COM7,,,,,SLAB,RHL,870,Long Duration,NOBASE
W,COM7,,,,,SLAB,RHL,870,Long Duration,NOBASE
C,COM7,,,,,PILE,RLL,870,Long Duration,NOBASE
M,COM7,,,,,PILE,RLL,870,Long Duration,NOBASE
S,COM7,,,,,PILE,RLL,870,Long Duration,NOBASE
W,COM7,,,,,PILE,RLL,870,Long Duration,NOBASE
C,COM7,,,,,PILE,RHL,870,Long Duration,NOBASE
M,COM7,,,,,PILE,RHL,870,Long Duration,NOBASE
S,COM7,,,,,PILE,RHL,870,Long Duration,NOBASE
W,COM7,,,,,PILE,RHL,870,Long Duration,NOBASE
C,COM7,,,,,BASEMENT,RLS,869,Short Duration,BASE
M,COM7,,,,,BASEMENT,RLS,869,Short Duration,BASE
S,COM7,,,,,BASEMENT,RLS,869,Short Duration,BASE
W,COM7,,,,,BASEMENT,RLS,869,Short Duration,BASE
C,COM7,,,,,BASEMENT,RHS,869,Short Duration,BASE
M,COM7,,,,,BASEMENT,RHS,869,Short Duration,BASE
S,COM7,,,,,BASEMENT,RHS,869,Short Duration,BASE
W,COM7,,,,,BASEMENT,RHS,869,Short Duration,BASE
C,COM7,,,,,SHALLOW,RLS,869,Short Duration,NOBASE
M,COM7,,,,,SHALLOW,RLS,869,Short Duration,NOBASE
S,COM7,,,,,SHALLOW,RLS,869,Short Duration,NOBASE
W,COM7,,,,,SHALLOW,RLS,869,Short Duration,NOBASE
C,COM7,,,,,SHALLOW,RHS,869,Short Duration,NOBASE
M,COM7,,,,,SHALLOW,RHS,869,Short Duration,NOBASE
S,COM7,,,,,SHALLOW,RHS,869,Short Duration,NOBASE
W,COM7,,,,,SHALLOW,RHS,869,Short Duration,NOBASE
C,COM7,,,,,SLAB,RLS,869,Short Duration,NOBASE
M,COM7,,,,,SLAB,RLS,869,Short Duration,NOBASE
S,COM7,,,,,SLAB,RLS,869,Short Duration,NOBASE
W,COM7,,,,,SLAB,RLS,869,Short Duration,NOBASE
C,COM7,,,,,SLAB,RHS,869,Short Duration,NOBASE
M,COM7,,,,,SLAB,RHS,869,Short Duration,NOBASE
S,COM7,,,,,SLAB,RHS,869,Short Duration,NOBASE
W,COM7,,,,,SLAB,RHS,869,Short Duration,NOBASE
C,COM7,,,,,PILE,RLS,869,Short Duration,NOBASE
M,COM7,,,,,PILE,RLS,869,Short Duration,NOBASE
S,COM7,,,,,PILE,RLS,869,Short Duration,NOBASE
W,COM7,,,,,PILE,RLS,869,Short Duration,NOBASE
C,COM7,,,,,PILE,RHS,869,Short Duration,NOBASE
M,COM7,,,,,PILE,RHS,869,Short Duration,NOBASE
S,COM7,,,,,PILE,RHS,869,Short Duration,NOBASE
W,COM7,,,,,PILE,RHS,869,Short Duration,NOBASE
C,COM8,,,,,BASEMENT,RLL,1407,Long Duration,BASE
M,COM8,,,,,BASEMENT,RLL,1407,Long Duration,BASE
S,COM8,,,,,BASEMENT,RLL,1407,Long Duration,BASE
W,COM8,,,,,BASEMENT,RLL,1407,Long Duration,BASE
C,COM8,,,,,BASEMENT,RHL,1407,Long Duration,BASE
M,COM8,,,,,BASEMENT,RHL,1407,Long Duration,BASE
S,COM8,,,,,BASEMENT,RHL,1407,Long Duration,BASE
W,COM8,,,,,BASEMENT,RHL,1407,Long Duration,BASE
C,COM8,,,,,SHALLOW,RLL,1407,Long Duration,NOBASE
M,COM8,,,,,SHALLOW,RLL,1407,Long Duration,NOBASE
S,COM8,,,,,SHALLOW,RLL,1407,Long Duration,NOBASE
W,COM8,,,,,SHALLOW,RLL,1407,Long Duration,NOBASE
C,COM8,,,,,SHALLOW,RHL,1407,Long Duration,NOBASE
M,COM8,,,,,SHALLOW,RHL,1407,Long Duration,NOBASE
S,COM8,,,,,SHALLOW,RHL,1407,Long Duration,NOBASE
W,COM8,,,,,SHALLOW,RHL,1407,Long Duration,NOBASE
C,COM8,,,,,SLAB,RLL,1407,Long Duration,NOBASE
M,COM8,,,,,SLAB,RLL,1407,Long Duration,NOBASE
S,COM8,,,,,SLAB,RLL,1407,Long Duration,NOBASE
W,COM8,,,,,SLAB,RLL,1407,Long Duration,NOBASE
C,COM8,,,,,SLAB,RHL,1407,Long Duration,NOBASE
M,COM8,,,,,SLAB,RHL,1407,Long Duration,NOBASE
S,COM8,,,,,SLAB,RHL,1407,Long Duration,NOBASE
W,COM8,,,,,SLAB,RHL,1407,Long Duration,NOBASE
C,COM8,,,,,PILE,RLL,1407,Long Duration,NOBASE
M,COM8,,,,,PILE,RLL,1407,Long Duration,NOBASE
S,COM8,,,,,PILE,RLL,1407,Long Duration,NOBASE
W,COM8,,,,,PILE,RLL,1407,Long Duration,NOBASE
C,COM8,,,,,PILE,RHL,1407,Long Duration,NOBASE
M,COM8,,,,,PILE,RHL,1407,Long Duration,NOBASE
S,COM8,,,,,PILE,RHL,1407,Long Duration,NOBASE
W,COM8,,,,,PILE,RHL,1407,Long Duration,NOBASE
C,COM8,,,,,BASEMENT,RLS,1405,Short Duration,BASE
M,COM8,,,,,BASEMENT,RLS,1405,Short Duration,BASE
S,COM8,,,,,BASEMENT,RLS,1405,Short Duration,BASE
W,COM8,,,,,BASEMENT,RLS,1405,Short Duration,BASE
C,COM8,,,,,BASEMENT,RHS,1405,Short Duration,BASE
M,COM8,,,,,BASEMENT,RHS,1405,Short Duration,BASE
S,COM8,,,,,BASEMENT,RHS,1405,Short Duration,BASE
W,COM8,,,,,BASEMENT,RHS,1405,Short Duration,BASE
C,COM8,,,,,SHALLOW,RLS,1405,Short Duration,NOBASE
M,COM8,,,,,SHALLOW,RLS,1405,Short Duration,NOBASE
S,COM8,,,,,SHALLOW,RLS,1405,Short Duration,NOBASE
W,COM8,,,,,SHALLOW,RLS,1405,Short Duration,NOBASE
C,COM8,,,,,SHALLOW,RHS,1405,Short Duration,NOBASE
M,COM8,,,,,SHALLOW,RHS,1405,Short Duration,NOBASE
S,COM8,,,,,SHALLOW,RHS,1405,Short Duration,NOBASE
W,COM8,,,,,SHALLOW,RHS,1405,Short Duration,NOBASE
C,COM8,,,,,SLAB,RLS,1405,Short Duration,NOBASE
M,COM8,,,,,SLAB,RLS,1405,Short Duration,NOBASE
S,COM8,,,,,SLAB,RLS,1405,Short Duration,NOBASE
W,COM8,,,,,SLAB,RLS,1405,Short Duration,NOBASE
C,COM8,,,,,SLAB,RHS,1405,Short Duration,NOBASE
M,COM8,,,,,SLAB,RHS,1405,Short Duration,NOBASE
S,COM8,,,,,SLAB,RHS,1405,Short Duration,NOBASE
W,COM8,,,,,SLAB,RHS,1405,Short Duration,NOBASE
C,COM8,,,,,PILE,RLS,1405,Short Duration,NOBASE
M,COM8,,,,,PILE,RLS,1405,Short Duration,NOBASE
S,COM8,,,,,PILE,RLS,1405,Short Duration,NOBASE
W,COM8,,,,,PILE,RLS,1405,Short Duration,NOBASE
C,COM8,,,,,PILE,RHS,1405,Short Duration,NOBASE
M,COM8,,,,,PILE,RHS,1405,Short Duration,NOBASE
S,COM8,,,,,PILE,RHS,1405,Short Duration,NOBASE
W,COM8,,,,,PILE,RHS,1405,Short Duration,NOBASE
C,COM9,,,,,BASEMENT,RLL,876,Long Duration,BASE
M,COM9,,,,,BASEMENT,RLL,876,Long Duration,BASE
S,COM9,,,,,BASEMENT,RLL,876,Long Duration,BASE
W,COM9,,,,,BASEMENT,RLL,876,Long Duration,BASE
C,COM9,,,,,BASEMENT,RHL,876,Long Duration,BASE
M,COM9,,,,,BASEMENT,RHL,876,Long Duration,BASE
S,COM9,,,,,BASEMENT,RHL,876,Long Duration,BASE
W,COM9,,,,,BASEMENT,RHL,876,Long Duration,BASE
C,COM9,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
M,COM9,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
S,COM9,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
W,COM9,,,,,SHALLOW,RLL,876,Long Duration,NOBASE
C,COM9,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
M,COM9,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
S,COM9,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
W,COM9,,,,,SHALLOW,RHL,876,Long Duration,NOBASE
C,COM9,,,,,SLAB,RLL,876,Long Duration,NOBASE
M,COM9,,,,,SLAB,RLL,876,Long Duration,NOBASE
S,COM9,,,,,SLAB,RLL,876,Long Duration,NOBASE
W,COM9,,,,,SLAB,RLL,876,Long Duration,NOBASE
C,COM9,,,,,SLAB,RHL,876,Long Duration,NOBASE
M,COM9,,,,,SLAB,RHL,876,Long Duration,NOBASE
S,COM9,,,,,SLAB,RHL,876,Long Duration,NOBASE
W,COM9,,,,,SLAB,RHL,876,Long Duration,NOBASE
C,COM9,,,,,PILE,RLL,876,Long Duration,NOBASE
M,COM9,,,,,PILE,RLL,876,Long Duration,NOBASE
S,COM9,,,,,PILE,RLL,876,Long Duration,NOBASE
W,COM9,,,,,PILE,RLL,876,Long Duration,NOBASE
C,COM9,,,,,PILE,RHL,876,Long Duration,NOBASE
M,COM9,,,,,PILE,RHL,876,Long Duration,NOBASE
S,COM9,,,,,PILE,RHL,876,Long Duration,NOBASE
W,COM9,,,,,PILE,RHL,876,Long Duration,NOBASE
C,COM9,,,,,BASEMENT,RLS,875,Short Duration,BASE
M,COM9,,,,,BASEMENT,RLS,875,Short Duration,BASE
S,COM9,,,,,BASEMENT,RLS,875,Short Duration,BASE
W,COM9,,,,,BASEMENT,RLS,875,Short Duration,BASE
C,COM9,,,,,BASEMENT,RHS,875,Short Duration,BASE
M,COM9,,,,,BASEMENT,RHS,875,Short Duration,BASE
S,COM9,,,,,BASEMENT,RHS,875,Short Duration,BASE
W,COM9,,,,,BASEMENT,RHS,875,Short Duration,BASE
C,COM9,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
M,COM9,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
S,COM9,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
W,COM9,,,,,SHALLOW,RLS,875,Short Duration,NOBASE
C,COM9,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
M,COM9,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
S,COM9,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
W,COM9,,,,,SHALLOW,RHS,875,Short Duration,NOBASE
C,COM9,,,,,SLAB,RLS,875,Short Duration,NOBASE
M,COM9,,,,,SLAB,RLS,875,Short Duration,NOBASE
S,COM9,,,,,SLAB,RLS,875,Short Duration,NOBASE
W,COM9,,,,,SLAB,RLS,875,Short Duration,NOBASE
C,COM9,,,,,SLAB,RHS,875,Short Duration,NOBASE
M,COM9,,,,,SLAB,RHS,875,Short Duration,NOBASE
S,COM9,,,,,SLAB,RHS,875,Short Duration,NOBASE
W,COM9,,,,,SLAB,RHS,875,Short Duration,NOBASE
C,COM9,,,,,PILE,RLS,875,Short Duration,NOBASE
M,COM9,,,,,PILE,RLS,875,Short Duration,NOBASE
S,COM9,,,,,PILE,RLS,875,Short Duration,NOBASE
W,COM9,,,,,PILE,RLS,875,Short Duration,NOBASE
C,COM9,,,,,PILE,RHS,875,Short Duration,NOBASE
M,COM9,,,,,PILE,RHS,875,Short Duration,NOBASE
S,COM9,,,,,PILE,RHS,875,Short Duration,NOBASE
W,COM9,,,,,PILE,RHS,875,Short Duration,NOBASE
C,EDU1,,,,,BASEMENT,RLL,888,Long Duration,BASE
M,EDU1,,,,,BASEMENT,RLL,888,Long Duration,BASE
S,EDU1,,,,,BASEMENT,RLL,888,Long Duration,BASE
W,EDU1,,,,,BASEMENT,RLL,888,Long Duration,BASE
C,EDU1,,,,,BASEMENT,RHL,888,Long Duration,BASE
M,EDU1,,,,,BASEMENT,RHL,888,Long Duration,BASE
S,EDU1,,,,,BASEMENT,RHL,888,Long Duration,BASE
W,EDU1,,,,,BASEMENT,RHL,888,Long Duration,BASE
C,EDU1,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
M,EDU1,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
S,EDU1,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
W,EDU1,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
C,EDU1,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
M,EDU1,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
S,EDU1,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
W,EDU1,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
C,EDU1,,,,,SLAB,RLL,888,Long Duration,NOBASE
M,EDU1,,,,,SLAB,RLL,888,Long Duration,NOBASE
S,EDU1,,,,,SLAB,RLL,888,Long Duration,NOBASE
W,EDU1,,,,,SLAB,RLL,888,Long Duration,NOBASE
C,EDU1,,,,,SLAB,RHL,888,Long Duration,NOBASE
M,EDU1,,,,,SLAB,RHL,888,Long Duration,NOBASE
S,EDU1,,,,,SLAB,RHL,888,Long Duration,NOBASE
W,EDU1,,,,,SLAB,RHL,888,Long Duration,NOBASE
C,EDU1,,,,,PILE,RLL,888,Long Duration,NOBASE
M,EDU1,,,,,PILE,RLL,888,Long Duration,NOBASE
S,EDU1,,,,,PILE,RLL,888,Long Duration,NOBASE
W,EDU1,,,,,PILE,RLL,888,Long Duration,NOBASE
C,EDU1,,,,,PILE,RHL,888,Long Duration,NOBASE
M,EDU1,,,,,PILE,RHL,888,Long Duration,NOBASE
S,EDU1,,,,,PILE,RHL,888,Long Duration,NOBASE
W,EDU1,,,,,PILE,RHL,888,Long Duration,NOBASE
C,EDU1,,,,,BASEMENT,RLS,887,Short Duration,BASE
M,EDU1,,,,,BASEMENT,RLS,887,Short Duration,BASE
S,EDU1,,,,,BASEMENT,RLS,887,Short Duration,BASE
W,EDU1,,,,,BASEMENT,RLS,887,Short Duration,BASE
C,EDU1,,,,,BASEMENT,RHS,887,Short Duration,BASE
M,EDU1,,,,,BASEMENT,RHS,887,Short Duration,BASE
S,EDU1,,,,,BASEMENT,RHS,887,Short Duration,BASE
W,EDU1,,,,,BASEMENT,RHS,887,Short Duration,BASE
C,EDU1,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
M,EDU1,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
S,EDU1,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
W,EDU1,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
C,EDU1,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
M,EDU1,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
S,EDU1,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
W,EDU1,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
C,EDU1,,,,,SLAB,RLS,887,Short Duration,NOBASE
M,EDU1,,,,,SLAB,RLS,887,Short Duration,NOBASE
S,EDU1,,,,,SLAB,RLS,887,Short Duration,NOBASE
W,EDU1,,,,,SLAB,RLS,887,Short Duration,NOBASE
C,EDU1,,,,,SLAB,RHS,887,Short Duration,NOBASE
M,EDU1,,,,,SLAB,RHS,887,Short Duration,NOBASE
S,EDU1,,,,,SLAB,RHS,887,Short Duration,NOBASE
W,EDU1,,,,,SLAB,RHS,887,Short Duration,NOBASE
C,EDU1,,,,,PILE,RLS,887,Short Duration,NOBASE
M,EDU1,,,,,PILE,RLS,887,Short Duration,NOBASE
S,EDU1,,,,,PILE,RLS,887,Short Duration,NOBASE
W,EDU1,,,,,PILE,RLS,887,Short Duration,NOBASE
C,EDU1,,,,,PILE,RHS,887,Short Duration,NOBASE
M,EDU1,,,,,PILE,RHS,887,Short Duration,NOBASE
S,EDU1,,,,,PILE,RHS,887,Short Duration,NOBASE
W,EDU1,,,,,PILE,RHS,887,Short Duration,NOBASE
C,EDU2,,,,,BASEMENT,RLL,888,Long Duration,BASE
M,EDU2,,,,,BASEMENT,RLL,888,Long Duration,BASE
S,EDU2,,,,,BASEMENT,RLL,888,Long Duration,BASE
W,EDU2,,,,,BASEMENT,RLL,888,Long Duration,BASE
C,EDU2,,,,,BASEMENT,RHL,888,Long Duration,BASE
M,EDU2,,,,,BASEMENT,RHL,888,Long Duration,BASE
S,EDU2,,,,,BASEMENT,RHL,888,Long Duration,BASE
W,EDU2,,,,,BASEMENT,RHL,888,Long Duration,BASE
C,EDU2,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
M,EDU2,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
S,EDU2,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
W,EDU2,,,,,SHALLOW,RLL,888,Long Duration,NOBASE
C,EDU2,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
M,EDU2,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
S,EDU2,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
W,EDU2,,,,,SHALLOW,RHL,888,Long Duration,NOBASE
C,EDU2,,,,,SLAB,RLL,888,Long Duration,NOBASE
M,EDU2,,,,,SLAB,RLL,888,Long Duration,NOBASE
S,EDU2,,,,,SLAB,RLL,888,Long Duration,NOBASE
W,EDU2,,,,,SLAB,RLL,888,Long Duration,NOBASE
C,EDU2,,,,,SLAB,RHL,888,Long Duration,NOBASE
M,EDU2,,,,,SLAB,RHL,888,Long Duration,NOBASE
S,EDU2,,,,,SLAB,RHL,888,Long Duration,NOBASE
W,EDU2,,,,,SLAB,RHL,888,Long Duration,NOBASE
C,EDU2,,,,,PILE,RLL,888,Long Duration,NOBASE
M,EDU2,,,,,PILE,RLL,888,Long Duration,NOBASE
S,EDU2,,,,,PILE,RLL,888,Long Duration,NOBASE
W,EDU2,,,,,PILE,RLL,888,Long Duration,NOBASE
C,EDU2,,,,,PILE,RHL,888,Long Duration,NOBASE
M,EDU2,,,,,PILE,RHL,888,Long Duration,NOBASE
S,EDU2,,,,,PILE,RHL,888,Long Duration,NOBASE
W,EDU2,,,,,PILE,RHL,888,Long Duration,NOBASE
C,EDU2,,,,,BASEMENT,RLS,887,Short Duration,BASE
M,EDU2,,,,,BASEMENT,RLS,887,Short Duration,BASE
S,EDU2,,,,,BASEMENT,RLS,887,Short Duration,BASE
W,EDU2,,,,,BASEMENT,RLS,887,Short Duration,BASE
C,EDU2,,,,,BASEMENT,RHS,887,Short Duration,BASE
M,EDU2,,,,,BASEMENT,RHS,887,Short Duration,BASE
S,EDU2,,,,,BASEMENT,RHS,887,Short Duration,BASE
W,EDU2,,,,,BASEMENT,RHS,887,Short Duration,BASE
C,EDU2,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
M,EDU2,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
S,EDU2,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
W,EDU2,,,,,SHALLOW,RLS,887,Short Duration,NOBASE
C,EDU2,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
M,EDU2,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
S,EDU2,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
W,EDU2,,,,,SHALLOW,RHS,887,Short Duration,NOBASE
C,EDU2,,,,,SLAB,RLS,887,Short Duration,NOBASE
M,EDU2,,,,,SLAB,RLS,887,Short Duration,NOBASE
S,EDU2,,,,,SLAB,RLS,887,Short Duration,NOBASE
W,EDU2,,,,,SLAB,RLS,887,Short Duration,NOBASE
C,EDU2,,,,,SLAB,RHS,887,Short Duration,NOBASE
M,EDU2,,,,,SLAB,RHS,887,Short Duration,NOBASE
S,EDU2,,,,,SLAB,RHS,887,Short Duration,NOBASE
W,EDU2,,,,,SLAB,RHS,887,Short Duration,NOBASE
C,EDU2,,,,,PILE,RLS,887,Short Duration,NOBASE
M,EDU2,,,,,PILE,RLS,887,Short Duration,NOBASE
S,EDU2,,,,,PILE,RLS,887,Short Duration,NOBASE
W,EDU2,,,,,PILE,RLS,887,Short Duration,NOBASE
C,EDU2,,,,,PILE,RHS,887,Short Duration,NOBASE
M,EDU2,,,,,PILE,RHS,887,Short Duration,NOBASE
S,EDU2,,,,,PILE,RHS,887,Short Duration,NOBASE
W,EDU2,,,,,PILE,RHS,887,Short Duration,NOBASE
C,GOV1,,,,,BASEMENT,RLL,1390,Long Duration,BASE
M,GOV1,,,,,BASEMENT,RLL,1390,Long Duration,BASE
S,GOV1,,,,,BASEMENT,RLL,1390,Long Duration,BASE
W,GOV1,,,,,BASEMENT,RLL,1390,Long Duration,BASE
C,GOV1,,,,,BASEMENT,RHL,1390,Long Duration,BASE
M,GOV1,,,,,BASEMENT,RHL,1390,Long Duration,BASE
S,GOV1,,,,,BASEMENT,RHL,1390,Long Duration,BASE
W,GOV1,,,,,BASEMENT,RHL,1390,Long Duration,BASE
C,GOV1,,,,,SHALLOW,RLL,1390,Long Duration,NOBASE
M,GOV1,,,,,SHALLOW,RLL,1390,Long Duration,NOBASE
S,GOV1,,,,,SHALLOW,RLL,1390,Long Duration,NOBASE
W,GOV1,,,,,SHALLOW,RLL,1390,Long Duration,NOBASE
C,GOV1,,,,,SHALLOW,RHL,1390,Long Duration,NOBASE
M,GOV1,,,,,SHALLOW,RHL,1390,Long Duration,NOBASE
S,GOV1,,,,,SHALLOW,RHL,1390,Long Duration,NOBASE
W,GOV1,,,,,SHALLOW,RHL,1390,Long Duration,NOBASE
C,GOV1,,,,,SLAB,RLL,1390,Long Duration,NOBASE
M,GOV1,,,,,SLAB,RLL,1390,Long Duration,NOBASE
S,GOV1,,,,,SLAB,RLL,1390,Long Duration,NOBASE
W,GOV1,,,,,SLAB,RLL,1390,Long Duration,NOBASE
