ddf_id,comment,depth_m12_0,depth_m11_0,depth_m10_0,depth_m9_0,depth_m8_0,depth_m7_0,depth_m6_0,depth_m5_0,depth_m4_0,depth_m3_0,depth_m2_0,depth_m1_5,depth_m1_0,depth_m0_5,depth_0_0,depth_0_5,depth_1_0,depth_1_5,depth_2_0,depth_3_0,depth_4_0,depth_5_0,depth_6_0,depth_7_0,depth_8_0,depth_9_0,depth_10_0,depth_11_0,depth_12_0,depth_13_0,depth_14_0,depth_15_0,depth_16_0,depth_17_0,depth_18_0,depth_19_0,depth_20_0,depth_21_0,depth_22_0,depth_23_0,depth_24_0
797,,,,,,,,,,,,0.0,,0.0,,0.0,,10.42,,16.78,20.91,25.92,30.09,33.76,36.96,41.48,44.64,46.68,46.68,46.68,46.68,46.68,46.68,46.68,,,,,,,,
798,Matches Hazus USACE Galveston District Vol.2 (1018-Manufacturing),,,,,,,,,,,0.5,,0.5,,1.01,,11.9,,19.78,25.7,31.61,34.38,39.89,43.24,47.71,52.59,53.9,53.9,53.9,53.9,53.9,53.9,53.9,,,,,,,,
799,,,,,,,,,,,,0.0,,0.0,,0.61,,11.68,,18.87,24.4,32.66,37.21,46.26,50.65,55.77,58.94,61.2,61.2,61.2,61.2,61.2,61.2,61.2,,,,,,,,
800,Matches Hazus USACE Galveston District Vol.2 (1081-Dental Office),,,,,,,,,,,0.31,,0.31,,1.33,,12.78,,21.04,27.89,37.18,40.92,51.9,56.56,61.73,65.98,67.81,67.81,67.81,67.81,67.81,67.81,67.81,,,,,,,,
801,,,,,,,,,,,,0.0,,0.0,,1.16,,17.7,,29.13,36.36,44.1,51.19,57.5,60.65,64.86,65.67,66.96,66.96,66.96,66.96,66.96,66.96,66.96,,,,,,,,
802,Matches Hazus USACE Galveston District Vol.2 (1085-Restaurant),,,,,,,,,,,0.28,,0.28,,1.87,,19.45,,32.37,40.97,49.57,56.26,63.93,67.15,71.29,72.74,73.53,73.53,73.53,73.53,73.53,73.53,73.53,,,,,,,,
803,,,,,,,,,,,,0.42,,0.42,,0.87,,12.28,,17.47,22.21,26.83,30.74,34.69,41.16,46.48,49.38,53.61,53.61,53.61,53.61,53.61,53.61,53.61,,,,,,,,
804,Matches Hazus USACE Galveston District Vol.2 (1040-Offices),,,,,,,,,,,0.79,,0.79,,1.63,,13.47,,19.44,25.37,30.5,33.51,38.64,45.68,51.09,55.01,59.12,59.12,59.12,59.12,59.12,59.12,59.12,,,,,,,,
805,,,,,,,,,,,,0.0,,0.0,,0.0,,9.2,,14.53,17.71,22.6,27.87,29.68,32.86,36.83,38.38,40.52,40.52,40.52,40.52,40.52,40.52,40.52,,,,,,,,
806,Matches Hazus USACE Galveston District Vol.2 (1412-Police Department),,,,,,,,,,,0.57,,0.57,,1.14,,10.54,,17.34,22.29,28.17,32.14,35.54,38.89,42.66,45.71,47.06,47.06,47.06,47.06,47.06,47.06,47.06,,,,,,,,
807,,,,,,,,,,,,0.0,,0.0,,0.0,,11.9,,20.22,25.96,32.16,36.83,40.65,43.36,47.4,49.39,51.58,51.58,51.58,51.58,51.58,51.58,51.58,,,,,,,,
808,Matches Hazus USACE Galveston District Vol.2 (1044-Family Fun Center),,,,,,,,,,,0.45,,0.45,,0.9,,13.53,,23.63,31.31,38.56,42.09,47.59,50.32,54.22,57.5,59.07,59.07,59.07,59.07,59.07,59.07,59.07,,,,,,,,
809,,,,,,,,,,,,0.0,,0.0,,0.0,,14.67,,24.82,30.88,37.04,43.2,47.57,51.31,55.41,57.51,58.98,58.98,58.98,58.98,58.98,58.98,58.98,,,,,,,,
810,Matches Hazus USACE Galveston District Vol.2 (1058-Church),,,,,,,,,,,0.36,,0.36,,0.71,,16.43,,28.29,35.93,42.93,48.43,54.21,58.14,62.14,65.29,66.14,66.14,66.14,66.14,66.14,66.14,66.14,,,,,,,,
811,,,,,,,,,,,,0.0,,0.0,,0.0,,11.37,,17.17,21.4,26.94,31.51,34.31,37.2,41.17,43.2,45.09,45.09,45.09,45.09,45.09,45.09,45.09,,,,,,,,
812,Matches Hazus USACE Galveston District Vol.2 (1097-Clothing/Accessory Store),,,,,,,,,,,0.54,,0.54,,1.07,,13.18,,20.46,26.61,33.25,36.43,40.96,43.93,47.71,51.29,52.36,52.36,52.36,52.36,52.36,52.36,52.36,,,,,,,,
813,,,,,,,,,,,,0.0,,0.0,,0.0,,11.17,,17.09,21.57,26.91,31.57,33.8,37.14,41.66,43.37,45.26,45.26,45.26,45.26,45.26,45.26,45.26,,,,,,,,
814,Matches Hazus USACE Galveston District Vol.2 (1070-Retail Major Appliances),,,,,,,,,,,0.54,,0.54,,1.07,,12.93,,20.36,26.82,33.21,36.5,40.32,43.86,48.32,51.5,52.57,52.57,52.57,52.57,52.57,52.57,52.57,,,,,,,,
815,,,,,,,,,,,,0.0,,0.0,,0.0,,10.29,,15.73,20.26,26.03,30.39,33.13,36.25,40.66,43.23,45.21,45.21,45.21,45.21,45.21,45.21,45.21,,,,,,,,
816,Matches Hazus USACE Galveston District Vol.2 (1072-Retail Furniture & Home Decor),,,,,,,,,,,0.54,,0.54,,1.07,,11.82,,18.67,25.18,32.11,35.02,39.49,42.74,47.07,51.33,52.52,52.52,52.52,52.52,52.52,52.52,52.52,,,,,,,,
817,,,,,,,,,,,,0.0,,0.0,,0.0,,13.02,,21.55,26.69,32.75,36.18,39.66,41.65,44.47,46.35,48.5,48.5,48.5,48.5,48.5,48.5,48.5,,,,,,,,
