Occupancy,GrossSales,BusinessInv
AGR1 ,1310,8
COM1 ,732,13
COM2 ,409,10
IND1 ,711,5
IND2 ,485,4
IND3 ,1393,5
IND4 ,969,3
IND5 ,1191,4
IND6 ,964,2
